id,name,type,latitude,longitude,capacity,operating_hours,features,max_capacity_people
null,지리산 토담 흑돈 깜돈,restaurant,36.119535,128.353487,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식"", ""육류,고기""], ""address"": ""경상북도 구미시 구미중앙로44길 12-1"", ""phone"": ""054-455-9813"", ""signature_menu"": ""흑돼지생삼겹 흑돼지목살 항정살 가브리살 흑돼지김치찌개 된장찌개"", ""address_source"": ""web"", ""menu_source"": ""web""}",41
null,굽네치킨 신평비산점,restaurant,36.119703,128.374237,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""치킨"", ""굽네치킨""], ""address"": ""경상북도 구미시 신평동"", ""signature_menu"": ""고추바사삭 오리지널 볼케이노 굽네순살 갈비천왕 콘소메"", ""address_source"": ""inferred"", ""menu_source"": ""inferred""}",104
null,미분당 구미시청점,restaurant,36.11996,128.34246,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""아시아음식"", ""동남아음식"", ""베트남음식"", ""미분당""], ""address"": ""경상북도 구미시 송정동"", ""signature_menu"": ""양지쌀국수 차돌박이쌀국수 차돌양지쌀국수 힘줄쌀국수 고구마짜조"", ""address_source"": ""inferred"", ""menu_source"": ""web""}",31
null,한국외식왕십리국밥,restaurant,36.120362,128.353721,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식"", ""국밥""], ""address"": ""경상북도 구미시 구미중앙로42길 5-15"", ""phone"": ""054-457-0008"", ""signature_menu"": ""솥밥돼지국밥 콩나물해장국 순살우거지해장국 솥밥두루치기 수육 묵은지김치찌개"", ""address_source"": ""web"", ""menu_source"": ""web""}",60
null,별헤는밤 비산신평점,restaurant,36.120591,128.382867,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""치킨""], ""address"": ""경상북도 구미시 비산동"", ""signature_menu"": ""후라이드치킨 양념치킨 간장치킨 반반치킨 닭강정 치킨무"", ""address_source"": ""inferred"", ""menu_source"": ""inferred""}",104
null,히어로선산곱창,restaurant,36.120673,128.341428,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식"", ""육류,고기"", ""곱창,막창""], ""address"": ""경상북도 구미시 형곡동"", ""signature_menu"": ""곱창전골 야채곱창 막창구이 곱창볶음 곱창전골사리 볶음밥"", ""address_source"": ""inferred"", ""menu_source"": ""inferred""}",104
null,더술,bar,36.120809,128.34312,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""술집"", ""호프,요리주점""], ""address"": ""경상북도 구미시 형곡동"", ""signature_menu"": ""골뱅이무침 노가리 먹태 계란말이 모듬과일 생맥주"", ""address_source"": ""inferred"", ""menu_source"": ""inferred""}",67
null,부림해물손수제비해물칼국수 비산점,restaurant,36.12093,128.374423,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식"", ""수제비""], ""address"": ""경상북도 구미시 비산동"", ""signature_menu"": ""해물칼국수 해물수제비 칼제비 얼큰수제비 들깨수제비 김치왕만두"", ""address_source"": ""inferred"", ""menu_source"": ""web""}",40
null,대구통닭 구미비산점,restaurant,36.121065,128.374415,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""치킨""], ""address"": ""경상북도 구미시 신비로 115"", ""phone"": ""070-8657-2195"", ""signature_menu"": ""윙봉반반 빨간양념후라이드 마늘간장치킨 똥집튀김 오뎅탕 먹태"", ""address_source"": ""web"", ""menu_source"": ""web""}",96
null,죠스떡볶이 구미비산점,fastfood,36.121166,128.374864,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""분식"", ""떡볶이"", ""죠스떡볶이""], ""address"": ""경상북도 구미시 신비로 117 (비산동) 1층"", ""phone"": ""054-464-7129"", ""signature_menu"": ""떡볶이 국물떡볶이 로제떡볶이 죠스찰순대 김말이 모듬튀김"", ""address_source"": ""web"", ""menu_source"": ""web""}",92
null,60계치킨 구미비산점,restaurant,36.121331,128.375234,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""치킨"", ""60계치킨""], ""address"": ""경상북도 구미시 비산로1길 36 (비산동) 1층"", ""signature_menu"": ""고추치킨 오리지널후라이드 양념치킨 간장치킨 마늘치킨"", ""address_source"": ""web"", ""menu_source"": ""web""}",38
null,빵굽는마을,restaurant,36.121433,128.359695,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""간식"", ""제과,베이커리""], ""address"": ""경상북도 구미시 형곡동"", ""signature_menu"": ""단팥빵 소보로빵 모카빵 식빵 크림빵 마늘바게트"", ""address_source"": ""inferred"", ""menu_source"": ""inferred""}",77
null,오구피자 송정점,restaurant,36.121609,128.340891,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""양식"", ""피자"", ""오구피자""], ""address"": ""경상북도 구미시 백산로1길 6 (송정동)"", ""phone"": ""0504-2547-1600"", ""signature_menu"": ""콤비네이션피자 불고기피자 페퍼로니피자 포테이토피자 바베큐치킨피자 갈릭소스"", ""address_source"": ""web"", ""menu_source"": ""web""}",81
null,예진가식당,restaurant,36.121878,128.35466,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식""], ""address"": ""경상북도 구미시 송정동"", ""signature_menu"": ""백반정식 제육볶음 된장찌개 김치찌개 청국장 갈치조림 고등어구이"", ""address_source"": ""inferred"", ""menu_source"": ""inferred""}",74
null,충무굴국밥,restaurant,36.121991,128.382416,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식"", ""국밥""], ""address"": ""경상북도 구미시 비산동"", ""signature_menu"": ""굴국밥 매생이굴국밥 굴전 굴보쌈 굴수제비"", ""address_source"": ""web"", ""menu_source"": ""inferred""}",49
null,권오익원조선산곱창,restaurant,36.122189,128.36198,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식"", ""육류,고기"", ""곱창,막창""], ""address"": ""경상북도 구미시 칠성로2길 41"", ""phone"": ""054-463-0306"", ""signature_menu"": ""곱창전골 곱창볶음 양념막창 소금막창 볶음밥"", ""address_source"": ""web"", ""menu_source"": ""inferred""}",65
null,행복쌀국수,restaurant,36.122282,128.364759,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""아시아음식"", ""동남아음식"", ""베트남음식""], ""address"": ""경상북도 구미시 신비로4길 5"", ""phone"": ""054-461-9787"", ""signature_menu"": ""쌀국수 분짜 반세오 새우볶음밥 월남쌈"", ""address_source"": ""web"", ""menu_source"": ""web""}",73
null,뱃나루터 구미본점,restaurant,36.122407,128.37681,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식"", ""해물,생선"", ""조개""], ""address"": ""경상북도 구미시 인동26길 31"", ""signature_menu"": ""조돌탕 조개찜 매콤새우찜 조개구이"", ""address_source"": ""web"", ""menu_source"": ""web""}",40
null,신천동할매 구미점,restaurant,36.122551,128.350121,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식"", ""찌개,전골""], ""address"": ""경상북도 구미시 송정동"", ""signature_menu"": ""김치찌개 동태찌개 청국장 두부두루치기 제육볶음"", ""address_source"": ""inferred"", ""menu_source"": ""inferred""}",44
null,명가돈우촌,restaurant,36.122635,128.349794,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식"", ""육류,고기""], ""address"": ""경상북도 구미시 구미중앙로39길 9"", ""signature_menu"": ""한돈 생삼겹살 소금구이 한우등심 한우특수부위 갈비살 된장찌개"", ""address_source"": ""web"", ""menu_source"": ""inferred""}",93
null,장수돼지국밥 본점,restaurant,36.122713,128.36252,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식"", ""국밥""], ""address"": ""경상북도 구미시 구미대로 399"", ""phone"": ""054-462-1774"", ""signature_menu"": ""돼지국밥 순대국밥 섞어국밥 내장국밥 술국 수육"", ""address_source"": ""web"", ""menu_source"": ""web""}",66
null,그집마늘치킨 신평점,restaurant,36.12287,128.364721,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""치킨""], ""address"": ""경상북도 구미시 신평동"", ""signature_menu"": ""마늘치킨 버터갈릭치킨 후라이드치킨 양념치킨 마늘똥집 양념불닭발"", ""address_source"": ""inferred"", ""menu_source"": ""web""}",32
null,이자카야진,bar,36.123084,128.36318,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""술집"", ""일본식주점""], ""address"": ""경상북도 구미시 신비로 4"", ""phone"": ""0507-1309-4880"", ""signature_menu"": ""도넛샤브 모듬사시미 모듬튀김 나가사끼짬뽕 생연어샐러드 메로구이"", ""address_source"": ""web"", ""menu_source"": ""web""}",118
null,삼미회관,restaurant,36.123215,128.363975,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식"", ""육류,고기""], ""address"": ""경상북도 구미시 신비로 9-1 1층"", ""phone"": ""054-463-8214"", ""signature_menu"": ""숙성한돈 삼겹살 숙성한돈 목살 냉삼 항정살 된장찌개"", ""address_source"": ""web"", ""menu_source"": ""web""}",83
null,소문난장족발,restaurant,36.123357,128.361798,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식"", ""육류,고기"", ""족발,보쌈""], ""address"": ""경상북도 구미시 송정동"", ""signature_menu"": ""족발 보쌈 냉채족발 매운족발 막국수 쟁반국수"", ""address_source"": ""inferred"", ""menu_source"": ""inferred""}",104
null,먹골갈비찜,restaurant,36.123611,128.349073,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식"", ""육류,고기"", ""갈비""], ""address"": ""경상북도 구미시 송정동"", ""signature_menu"": ""소갈비찜 돼지갈비찜 매운갈비찜 갈비탕 등갈비찜 갈비찜정식"", ""address_source"": ""inferred"", ""menu_source"": ""inferred""}",95
null,손만두찐빵,fastfood,36.123881,128.362537,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""분식""], ""address"": ""경상북도 구미시 송정동"", ""signature_menu"": ""손만두 찐빵 왕만두 군만두 만둣국 떡만둣국"", ""address_source"": ""inferred"", ""menu_source"": ""inferred""}",30
null,수복어,restaurant,36.124123,128.361847,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식"", ""해물,생선"", ""복어""], ""address"": ""경상북도 구미시 송정동"", ""signature_menu"": ""복지리 복매운탕 복불고기 복튀김 복수육 복어회"", ""address_source"": ""inferred"", ""menu_source"": ""inferred""}",115
null,해송식당,restaurant,36.124478,128.348013,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식""], ""address"": ""경상북도 구미시 송정동"", ""signature_menu"": ""백반 된장찌개 제육볶음 김치찌개 생선구이 청국장"", ""address_source"": ""inferred"", ""menu_source"": ""inferred""}",54
null,카사마차,bar,36.124708,128.347728,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""술집"", ""실내포장마차""], ""address"": ""경상북도 구미시 송정동"", ""signature_menu"": ""모둠꼬치 닭꼬치 어묵탕 계란말이 골뱅이무침 사케 하이볼"", ""address_source"": ""inferred"", ""menu_source"": ""inferred""}",52
null,더펠리즈,cafeteria,36.125238,128.356632,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""뷔페""], ""address"": ""경상북도 구미시 칠성로 99 (원평동 618-3) 2층"", ""phone"": ""054-454-6300"", ""signature_menu"": ""한식뷔페 스테이크무한리필 초밥 회 라자냐 떡잔치음식 즉석코너 디저트"", ""address_source"": ""web"", ""menu_source"": ""web""}",40
null,보리칼국수,restaurant,36.125619,128.34135,null,null,"{""has_vegetarian"": null, ""average_price"": null, ""cuisine_tags"": [""한식"", ""국수"", ""칼국수""], ""address"": ""경상북도 구미시 도량동"", ""signature_menu"": ""보리칼국수 보리밥 멸치칼국수 보리비빔밥 손칼국수 겉절이 수육"", ""address_source"": ""inferred"", ""menu_source"": ""inferred""}",60
